marque,modele,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,couleur,sellerie,emission_CO2,crit_air,usage_commerciale_anterieure,annee,prix_neuf,Mise_en_circulation
HYUNDAI,HYUNDAI I20,71206.0,Essence,Boite de vitesse automatique,100,2,Citadine,Rouge,Tissu ,111.0,Crit'Air 1,Non,2019,20850.0,09/08/2019
RENAULT,RENAULT CLIO,75840.0,Essence,Boite de vitesse manuelle,100,3,Citadine,Gris,Tissu ,118.0,Crit'Air 1,Unknown,2019,18800.0,09/07/2019
CITROEN,CITROEN C5 AIRCROSS,92815.0,Diesel,Boite de vitesse automatique,131,Inconnu,SUV,Gris,Mi-cuir ,98.0,Crit'Air 2,Non,2020,39400.0,09/08/2020
MERCEDES,MERCEDES-BENZ CLASSE B,91292.0,Diesel,Boite de vitesse automatique,116,3,Monospace,Gris,Tissu ,100.0,Crit'Air 2,Non,2019,36800.0,09/12/2019
AUDI,AUDI A3,50939.0,Diesel,Boite de vitesse automatique,150,3,Berline,Bleu,Cuir ,123.0,Crit'Air 2,Non,2021,44250.0,09/05/2021
PEUGEOT,PEUGEOT 3008,97311.0,Essence,Boite de vitesse automatique,130,2,SUV,Rouge,Mi-cuir ,120.0,Crit'Air 1,Non,2017,34450.0,09/06/2017
PEUGEOT,PEUGEOT 2008,63517.0,Essence,Boite de vitesse automatique,110,3,SUV,Gris,Mi-cuir ,114.0,Crit'Air 1,Non,2018,24525.0,09/11/2018
SKODA,SKODA KODIAQ,79392.0,Diesel,Boite de vitesse automatique,150,2,SUV,Bleu,Tissu ,162.0,Crit'Air 2,Oui,2020,42235.0,09/06/2020
TOYOTA,TOYOTA RAV 4,65729.0,Hybride,Boite de vitesse automatique,218,1,SUV,Noir,Mi-cuir ,131.0,Crit'Air 1,Non,2021,47000.0,09/04/2021
PEUGEOT,PEUGEOT 208,31793.0,Essence,Boite de vitesse automatique,130,2,Citadine,Gris,Mi-cuir ,122.0,Crit'Air 1,Unknown,2021,30320.0,09/10/2021
SEAT,SEAT IBIZA,46597.0,Essence,Boite de vitesse automatique,115,4,Citadine,Gris,Tissu ,134.0,Crit'Air 1,Oui,2020,21490.0,09/06/2020
KIA,KIA CEE'D,11179.0,Essence,Boite de vitesse automatique,160,2,Berline,Gris,Tissu ,134.0,Crit'Air 1,Non,2021,28255.0,09/09/2021
PEUGEOT,PEUGEOT 208,63219.0,Essence,Boite de vitesse automatique,100,2,Citadine,Blanc,Mi-cuir ,124.0,Crit'Air 1,Unknown,2023,28120.0,09/10/2023
BMW,BMW X1,71322.0,Diesel,Boite de vitesse automatique,190,2,SUV,Noir,Mi-cuir ,122.0,Crit'Air 2,Non,2019,49775.0,09/12/2019
LEXUS,LEXUS UX-SERIE,26983.0,Hybride,Boite de vitesse automatique,184,2,SUV,Gris,Tissu ,120.0,Crit'Air 1,Oui,2021,39026.666666666664,09/03/2021
RENAULT,RENAULT CLIO,70000.0,Diesel,Boite de vitesse manuelle,115,2,Citadine,Rouge,Mi-cuir ,110.0,Crit'Air 2,Oui,2020,23250.0,09/08/2020
HYUNDAI,HYUNDAI KONA,27480.0,Hybride,Boite de vitesse automatique,141,2,SUV,Jaune,Mi-cuir ,122.0,Crit'Air 1,Non,2020,30325.0,09/08/2020
